time,liquidate_long,liquidate_short
2021-09-05,0.0,0.0
2021-09-12,0.0,0.0
2021-09-19,0.0,2516.1296566187707
2021-09-26,1003.4604706150365,0.0
2021-10-03,0.0,0.0
2021-10-10,0.0,579.0243001657686
2021-10-17,0.0,0.0
2021-10-24,0.0,0.0
2021-10-31,14689.3083020733,0.0
2021-11-07,0.0,0.0
2021-11-14,0.0,0.0
2021-11-21,505235.37123882154,0.0
2021-11-28,81351.96111653646,0.0
2021-12-05,3709472.5824216744,0.0
2021-12-12,56760.6194574828,534.8563645149
2021-12-19,56378.624909656995,622.1444836736
2021-12-26,0.0,0.0
2022-01-02,191727.91632975603,0.0
2022-01-09,508805.9184187757,0.0
2022-01-16,20480.26666526311,0.0
2022-01-23,902615.8718001279,24316.49977316
2022-01-30,480.9937599652,13050.7151061
2022-02-06,3439.14237851,49610.298446739
2022-02-13,0.0,5127.61788705
2022-02-20,49106.4678088678,393.7004631
2022-02-27,209711.1027085014,59876.15050555125
2022-03-06,2200.6931532566,724608.7545387816
2022-03-13,35818.86860045,3432.3504118307
2022-03-20,451.35040984,1398.33947584
2022-03-27,195.31333566648,296253.83704327623
2022-04-03,0.0,5271.09643547
2022-04-10,69950.33135206098,0.0
2022-04-17,10164325.479025085,2137.98054762
2022-04-24,284298.4721802388,9805.45714637
2022-05-01,23850.769819072295,675.48902616
2022-05-08,100121.26175633859,841.0378098904
2022-05-15,798964.5740839643,204631.22402568726
2022-05-22,1187.148980355,0.0
2022-05-29,26520.91348205178,997.53484984
2022-06-05,2002.5041137175,405379.1491092805
2022-06-12,40745.05743411119,809.9247926126
2022-06-19,1233115.201334254,2318330.894186215
2022-06-26,682.05968902,3974.697986768506
2022-07-03,37458.416657346155,303478.5734392491
2022-07-10,8330.72079469,288697.27958016394
2022-07-17,36447.57204017346,13424.174403688112
2022-07-24,6183.0466512477,95596.25242232294
2022-07-31,24760.29934444678,105048.74383805318
2022-08-07,3420.189321679346,1657.1718970328
2022-08-14,1718.1008257447938,62642.1192026906
2022-08-21,677027.0821068992,1475.2893696205997
2022-08-28,24976.704224129364,3369.9314651924005
2022-09-04,612.7090525192999,1738.6700854725
2022-09-11,150189.29924802782,61873.668124312986
2022-09-18,958349.6136895961,129908.69253341833
2022-09-25,419013.39332719886,5902.856952291025
2022-10-02,7327.283721568721,12872.884559236172
2022-10-09,2050.68516368,4354.943551200428
2022-10-16,322334.2467718344,3734.358093431813
2022-10-23,6074.1143485265,3539.704290535
2022-10-30,1726.3906513656239,212937.34783828305
2022-11-06,4415.124890016,15734.248873836128
2022-11-13,9513906.554823944,6749299.492770538
2022-11-20,6949.373210545164,27646.554847393818
2022-11-27,35672.7152555219,7042.652969410501
2022-12-04,6115.514372981901,2185466.0060409843
2022-12-11,5810.838658455899,39155.3083812561
2022-12-18,53455.78260494265,927272.6354081318
2022-12-25,29414.4124361345,3801.5870810162496
2023-01-01,6120.519008798313,1658.0005783872
2023-01-08,0.0,1037863.8309455683
2023-01-15,10379.9781886491,2451716.0175491488
2023-01-22,81367.15368964401,3173582.549955975
2023-01-29,94467.2250726304,361137.77121290733
2023-02-05,562851.709225915,1632188.6520110087
2023-02-12,1181483.7123148919,4896.2905098466
2023-02-19,23607.8210437042,117330.42196286567
2023-02-26,227067.6494250407,5016.117445814288
2023-03-05,3071429.5158009054,6222.7259443657
2023-03-12,1746594.0714868233,6497333.81011339
2023-03-19,926057.6578820492,8934827.426516553
2023-03-26,498059.4977219483,221545.55572051974
2023-04-02,1021931.9592076504,237028.39167982154
2023-04-09,939931.996114754,17747.015732896754
2023-04-16,11199.996557056991,2896643.3633298636
2023-04-23,18763754.803495176,1960.6788520452462
2023-04-30,4772031.4699378265,251121.3403737984
2023-05-07,374885.19951656973,8334.29923624421
2023-05-14,1540381.563669412,6639.667346149873
2023-05-21,7995.525729120788,6100.962260010238
2023-05-28,2005132.185975015,68708.24906954585
2023-06-04,12988.356061197532,5617.615204520057
2023-06-11,2598379.2232652004,4216.804502035254
2023-06-18,3505982.358121568,500.0040207599904
